park1,park2,activity similariy,crowdedness similarity Jan,crowdedness similarity Feb,crowdedness similarity Mar,crowdedness similarity Apr,crowdedness similarity May,crowdedness similarity Jun,crowdedness similarity Jul,crowdedness similarity Aug,crowdedness similarity Sep,crowdedness similarity Oct,crowdedness similarity Nov,crowdedness similarity Dec
Acadia NP,North Cascades NP,0.5783,0.9641,0.9868,0.9712,0.9650,0.7695,0.6878,0.2893,0.7622,0.6354,0.5996,0.9617,0.9719
Acadia NP,Olympic NP,0.9336,0.8390,0.9122,0.8740,0.8015,0.8612,0.7701,0.7840,0.8906,0.7993,0.6312,0.8617,0.8650
Acadia NP,Petrified Forest NP,0.6255,0.2528,0.9307,0.3791,0.1036,0.8466,0.7368,0.5262,0.7772,0.6168,0.8596,0.3639,0.8280
Acadia NP,Pinnacles NP,0.5560,0.9039,0.9564,0.7686,0.7681,0.9307,0.7967,0.4307,0.7780,0.6236,0.8654,0.8650,0.8969
Acadia NP,Redwood NP,0.5417,0.9490,0.9805,0.9426,0.8985,0.8746,0.7802,0.4935,0.8008,0.6754,0.7286,0.9549,0.9545
Acadia NP,Rocky Mountain NP,0.7372,0.7694,0.9637,0.8647,0.7904,0.9023,0.9322,0.9443,0.9567,0.9355,0.8608,0.8675,0.9318
Acadia NP,Saguaro NP,0.4423,0.3018,0.9266,0.4754,0.3177,0.8017,0.7149,0.4040,0.7790,0.6231,0.6921,0.5202,0.8673
Acadia NP,Sequoia NP,0.6994,0.9948,0.9582,0.9980,0.8392,0.8180,0.8540,0.8567,0.7346,0.7881,0.7522,0.9583,0.9384
Acadia NP,Shenandoah NP,0.5922,0.8832,0.9544,0.8813,0.8224,0.8808,0.7852,0.7317,0.8961,0.7925,0.7589,0.8710,0.9291
Acadia NP,Theodore Roosevelt NP,0.7586,0.9189,0.9627,0.8323,0.8069,0.8738,0.8879,0.8270,0.8382,0.7481,0.9155,0.8655,0.9117
Acadia NP,Virgin Islands NP,0.7537,0.1542,0.6558,0.2790,0.0814,0.7821,0.7424,0.3338,0.7662,0.5864,0.8969,0.2909,0.8171
Acadia NP,Voyageurs NP,0.8645,0.8924,0.9559,0.7898,0.8351,0.7270,0.3957,0.2034,0.7443,0.6149,0.7103,0.8187,0.8955
Acadia NP,Wind Cave NP,0.4627,0.7458,0.9415,0.5741,0.4126,0.9160,0.8004,0.6904,0.7956,0.6603,0.9622,0.6472,0.8570
Acadia NP,Wrangell-St. Elias NP & PRES,0.6668,0.0276,0.7004,0.0707,0.0306,0.1368,0.2064,0.0811,0.6114,0.3331,0.0541,0.0477,0.4531
Acadia NP,Yellowstone NP,0.7175,0.9916,0.8264,0.9656,0.9908,0.8451,0.8349,0.8147,0.8504,0.8026,0.7152,0.9558,0.8206
Acadia NP,Yosemite NP,0.7735,0.7922,0.7925,0.7302,0.5735,0.8936,0.8393,0.6370,0.8425,0.7244,0.6674,0.7692,0.6175
Acadia NP,Zion NP,0.5560,0.4873,0.9293,0.4888,0.1896,0.8914,0.9459,0.9652,0.9467,0.9587,0.7915,0.4655,0.8445
Arches NP,Acadia NP,0.4616,0.5766,0.9484,0.4230,0.2337,0.8247,0.8616,0.6874,0.7805,0.7485,0.8412,0.4596,0.8778
Arches NP,Arches NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Arches NP,Badlands NP,0.7303,0.6856,0.9927,0.8183,0.7319,0.9063,0.9247,0.9291,0.9934,0.9679,0.7465,0.7748,0.9825
Arches NP,Big Bend NP,0.7628,0.4384,0.9392,0.7388,0.8241,0.7233,0.8184,0.6145,0.9850,0.9399,0.6758,0.7168,0.4256
Arches NP,Biscayne NP,0.3586,0.7303,0.9939,0.8035,0.8411,0.9457,0.9338,0.7168,0.9938,0.9452,0.7449,0.8007,0.9838
Arches NP,Black Canyon of the Gunnison NP,0.1826,0.5756,0.9914,0.8041,0.7341,0.9310,0.9395,0.5358,0.9844,0.9441,0.7560,0.6952,0.9789
Arches NP,Bryce Canyon NP,0.6674,0.7999,0.9932,0.7790,0.8921,0.8306,0.9636,0.8696,0.9847,0.9091,0.9426,0.7868,0.9841
Arches NP,Canyonlands NP,0.8216,0.7260,0.9681,0.5209,0.4855,0.5845,0.7013,0.6805,0.9643,0.9351,0.4673,0.6053,0.9151
Arches NP,Capitol Reef NP,0.7454,0.8657,0.9984,0.9665,0.8994,0.9722,0.9819,0.8098,0.9936,0.9627,0.9861,0.8788,0.9967
Arches NP,Carlsbad Caverns NP,0.6000,0.8333,0.9927,0.7720,0.8524,0.9690,0.9405,0.7792,0.9937,0.9428,0.7830,0.8277,0.9791
Arches NP,Channel Islands NP,0.4743,0.7829,0.9943,0.7123,0.6789,0.8679,0.8664,0.6644,0.9908,0.9448,0.5423,0.7245,0.9815
Arches NP,Congaree NP,0.4899,0.9248,0.9932,0.8552,0.8431,0.9700,0.9434,0.5404,0.9936,0.9393,0.8823,0.8548,0.9857
Arches NP,Crater Lake NP,0.5934,0.6403,0.9903,0.6582,0.4269,0.7626,0.8955,0.8274,0.9871,0.9803,0.5975,0.6132,0.9704
Arches NP,Cuyahoga Valley NP,0.4385,0.7924,0.9954,0.7667,0.7628,0.6971,0.9129,0.9727,0.9936,0.9813,0.6828,0.7635,0.9887
Arches NP,Death Valley NP,0.8452,0.6577,0.6672,0.8951,0.7071,0.6222,0.6014,0.5613,0.9313,0.8174,0.7752,0.8685,0.5748
Arches NP,Denali NP & PRES,0.7348,0.1200,0.8586,0.2080,0.1027,0.4966,0.4220,0.4080,0.8808,0.7154,0.1146,0.1574,0.6929
Arches NP,Dry Tortugas NP,0.4564,0.6227,0.9906,0.8574,0.7084,0.8655,0.9286,0.4744,0.9907,0.9294,0.8723,0.7841,0.9779
Arches NP,Everglades NP,0.5715,0.7249,0.7398,0.6920,0.6657,0.6540,0.7834,0.5222,0.9830,0.9005,0.4700,0.5911,0.9676
Arches NP,Gates of the Arctic NP & PRES,0.2390,0.0215,0.6020,0.0831,0.0313,0.1017,0.1628,0.0677,0.6472,0.3888,0.0360,0.0559,0.3903
Arches NP,Gateway Arch NP,0.4743,0.8158,0.9930,0.6809,0.7663,0.7302,0.9004,0.8732,0.9927,0.9658,0.6584,0.7558,0.9812
Arches NP,Glacier Bay NP & PRES,0.6325,0.0654,0.9504,0.3310,0.1427,0.5036,0.6594,0.4834,0.9611,0.8324,0.1478,0.2230,0.8681
Arches NP,Glacier NP,0.6325,0.6286,0.8195,0.3176,0.2930,0.6569,0.8564,0.7883,0.7796,0.7055,0.4980,0.3858,0.6885
Arches NP,Grand Canyon NP,0.7255,0.5774,0.9597,0.6951,0.7415,0.5506,0.7472,0.7961,0.8169,0.9431,0.5847,0.4399,0.8661
Arches NP,Grand Teton NP,0.6068,0.6358,0.8511,0.3520,0.3137,0.4359,0.7172,0.8518,0.8306,0.8129,0.4401,0.3514,0.7187
Arches NP,Great Basin NP,0.6364,0.5395,0.9934,0.8984,0.4757,0.4481,0.9495,0.4727,0.9780,0.9344,0.8660,0.7662,0.9826
Arches NP,Great Sand Dunes NP & PRES,0.5809,0.5084,0.9918,0.5853,0.7138,0.9335,0.9376,0.4990,0.9906,0.9506,0.9254,0.6467,0.9810
Arches NP,Great Smoky Mountains NP,0.6761,0.9135,0.8417,0.6764,0.7760,0.6961,0.8691,0.9013,0.7607,0.7145,0.9138,0.6879,0.8048
Arches NP,Guadalupe Mountains NP,0.6325,0.8566,0.9983,0.8197,0.8164,0.8970,0.9515,0.6412,0.9952,0.9464,0.8812,0.7907,0.9812
Arches NP,Haleakala NP,0.6455,0.7342,0.9942,0.7877,0.8585,0.9297,0.9467,0.8675,0.9955,0.9592,0.7522,0.7738,0.9882
Arches NP,Hawaii Volcanoes NP,0.6000,0.7186,0.9811,0.7120,0.7692,0.9036,0.6096,0.8771,0.9068,0.9610,0.7184,0.7413,0.9919
Arches NP,Hot Springs NP,0.6325,0.7341,0.9868,0.9134,0.7322,0.9605,0.9727,0.9058,0.9946,0.9577,0.8403,0.9302,0.9670
Arches NP,Indiana Dunes NP,0.6068,0.7442,0.9944,0.7324,0.7945,0.8859,0.9341,0.9242,0.9661,0.8824,0.6488,0.8416,0.9865
Arches NP,Isle Royale NP,0.4385,0.3041,0.9856,0.5966,0.2989,0.6530,0.7969,0.4546,0.9706,0.9199,0.3620,0.4804,0.9616
Arches NP,Joshua Tree NP,0.8452,0.7513,0.7971,0.8315,0.9662,0.7662,0.7798,0.8358,0.9566,0.8697,0.7253,0.7100,0.7267
Arches NP,Katmai NP & PRES,0.3586,0.0541,0.9394,0.2956,0.1093,0.3561,0.5131,0.2206,0.9490,0.8110,0.1243,0.1967,0.8415
Arches NP,Kenai Fjords NP,0.4743,0.1412,0.9887,0.7708,0.4195,0.8713,0.9066,0.7736,0.9920,0.9389,0.5021,0.6179,0.9708
Arches NP,Kings Canyon NP,0.6364,0.7807,0.9488,0.4734,0.5983,0.8279,0.7499,0.3779,0.8587,0.8785,0.7230,0.6090,0.8857
Arches NP,Kobuk Valley NP,0.3814,0.2746,0.9915,0.8818,0.7073,0.8991,0.9298,0.4650,0.9921,0.9323,0.8681,0.7692,0.9785
Arches NP,Lake Clark NP & PRES,0.4353,0.0377,0.9563,0.3523,0.1267,0.4217,0.5829,0.2259,0.9630,0.8505,0.1405,0.2282,0.8817
Arches NP,Lassen Volcanic NP,0.6068,0.7977,0.9954,0.6788,0.5221,0.8367,0.9264,0.5028,0.9386,0.9374,0.8253,0.6791,0.9889
Arches NP,Mammoth Cave NP,0.5000,0.5969,0.9928,0.6635,0.8919,0.8655,0.9252,0.6446,0.9856,0.9515,0.8367,0.8358,0.9816
Arches NP,Mesa Verde NP,0.6708,0.3356,0.9841,0.6339,0.7233,0.8258,0.8696,0.5441,0.9709,0.9030,0.6993,0.5046,0.9591
Arches NP,Mount Rainier NP,0.4767,0.7297,0.9520,0.4397,0.3608,0.6457,0.7998,0.5963,0.8406,0.9100,0.3926,0.5314,0.8955
